#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
319756:6931,07/16/18 15:39:04,1923,HLT_IsoMu24_v13,0.507087482,0.490207560
319840:6939,07/17/18 22:27:53,348,HLT_IsoMu24_v13,0.051262088,0.049718970
319841:6939,07/18/18 00:44:33,167,HLT_IsoMu24_v13,0.020840269,0.020280330
319847:6940,07/18/18 04:02:30,3,HLT_IsoMu24_v13,0.001330140,0.000903546
319848:6940,07/18/18 04:04:45,53,HLT_IsoMu24_v13,0.019928725,0.019081685
319849:6940,07/18/18 04:28:02,489,HLT_IsoMu24_v13,0.179266263,0.173553507
319851:6940,07/18/18 07:46:30,4,HLT_IsoMu24_v13,0.001250214,0.001137046
319853:6940,07/18/18 08:01:32,256,HLT_IsoMu24_v13,0.073308035,0.071203933
319854:6940,07/18/18 09:44:34,225,HLT_IsoMu24_v13,0.055235431,0.053716621
319908:6942,07/19/18 02:40:13,51,HLT_IsoMu24_v13,0.019578850,0.018295996
319909:6942,07/19/18 03:03:13,6,HLT_IsoMu24_v13,0.002326547,0.001120252
319910:6942,07/19/18 03:09:20,983,HLT_IsoMu24_v13,0.315476062,0.304867395
319912:6942,07/19/18 09:34:18,59,HLT_IsoMu24_v13,0.014171249,0.013437294
319913:6942,07/19/18 09:59:24,56,HLT_IsoMu24_v13,0.013018670,0.012566299
319914:6942,07/19/18 10:22:49,32,HLT_IsoMu24_v13,0.007252554,0.006879894
319915:6942,07/19/18 10:37:23,416,HLT_IsoMu24_v13,0.088940472,0.086802730
319941:6944,07/19/18 19:59:35,255,HLT_IsoMu24_v13,0.098651267,0.094418021
319942:6944,07/19/18 21:41:30,50,HLT_IsoMu24_v13,0.017942967,0.017469047
319950:6946,07/20/18 02:45:30,168,HLT_IsoMu24_v13,0.067840573,0.065936582
319991:6953,07/20/18 15:48:51,837,HLT_IsoMu24_v13,0.292532002,0.282113669
319992:6953,07/20/18 21:15:39,262,HLT_IsoMu24_v13,0.067833885,0.065586878
319993:6953,07/20/18 23:01:06,955,HLT_IsoMu24_v13,0.187747701,0.182676621
320002:6956,07/21/18 08:17:32,141,HLT_IsoMu24_v13,0.052523648,0.050203881
320006:6956,07/21/18 09:46:32,340,HLT_IsoMu24_v13,0.117880259,0.114140954
320010:6956,07/21/18 14:27:42,330,HLT_IsoMu24_v13,0.076664447,0.074677045
320011:6956,07/21/18 16:38:02,302,HLT_IsoMu24_v13,0.063113485,0.061138295
320012:6956,07/21/18 18:38:20,99,HLT_IsoMu24_v13,0.018712035,0.018060759
320023:6957,07/21/18 21:33:03,276,HLT_IsoMu24_v13,0.103950839,0.098835382
320024:6957,07/21/18 23:21:36,409,HLT_IsoMu24_v13,0.130156237,0.126441802
320025:6957,07/22/18 02:03:20,112,HLT_IsoMu24_v13,0.030948007,0.030113403
320026:6957,07/22/18 02:49:54,204,HLT_IsoMu24_v13,0.051564870,0.050085960
320038:6960,07/22/18 07:09:04,619,HLT_IsoMu24_v13,0.226791709,0.218714081
320039:6960,07/22/18 11:13:45,28,HLT_IsoMu24_v13,0.008538614,0.008200324
320040:6960,07/22/18 11:29:06,737,HLT_IsoMu24_v13,0.183360034,0.177429449
320059:6961,07/22/18 18:43:23,103,HLT_IsoMu24_v13,0.042810115,0.040909008
320060:6961,07/22/18 19:27:05,42,HLT_IsoMu24_v13,0.016524609,0.015725135
320061:6961,07/22/18 19:46:28,49,HLT_IsoMu24_v13,0.019093879,0.018270201
320062:6961,07/22/18 20:06:50,21,HLT_IsoMu24_v13,0.008000818,0.006956526
320063:6961,07/22/18 20:17:40,62,HLT_IsoMu24_v13,0.022963310,0.022166274
320064:6961,07/22/18 20:48:07,198,HLT_IsoMu24_v13,0.067732438,0.064855954
320065:6961,07/22/18 22:09:30,917,HLT_IsoMu24_v13,0.234252055,0.227087403
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_IsoMu24_v13,23,65,26195,7.142612147,6.894808938
#
#Sum delivered  : 7.142612147
#Sum recorded : 6.894808938
#Check JSON:
#(run,ls) in json but not in results: []
