#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
321262:7054,08/14/18 12:50:07,4,HLT_IsoMu24_v13,0.001737804,0.001669137
321283:7055,08/14/18 15:05:56,309,HLT_IsoMu24_v13,0.124577387,0.119781941
321294:7055,08/14/18 17:35:51,62,HLT_IsoMu24_v13,0.022067690,0.020610644
321295:7055,08/14/18 18:01:35,734,HLT_IsoMu24_v13,0.208662651,0.201491521
321296:7055,08/14/18 22:55:44,56,HLT_IsoMu24_v13,0.012397972,0.011876652
321305:7056,08/15/18 02:02:21,2625,HLT_IsoMu24_v13,0.621844054,0.601908035
321393:7058,08/17/18 05:32:36,138,HLT_IsoMu24_v13,0.051871336,0.049689602
321311:7056,08/15/18 20:48:28,10,HLT_IsoMu24_v13,0.000941657,0.000473244
321312:7056,08/15/18 20:55:17,761,HLT_IsoMu24_v13,0.061529771,0.060265791
321313:7056,08/16/18 01:55:17,408,HLT_IsoMu24_v13,0.026959447,0.026586118
321396:7058,08/17/18 06:29:54,1468,HLT_IsoMu24_v13,0.377918881,0.364648272
321397:7058,08/17/18 16:06:23,365,HLT_IsoMu24_v13,0.053675227,0.052262679
321414:7061,08/17/18 21:14:10,1242,HLT_IsoMu24_v13,0.395051861,0.380804424
321415:7061,08/18/18 05:21:19,802,HLT_IsoMu24_v13,0.145798851,0.141782814
321431:7063,08/18/18 13:51:46,151,HLT_IsoMu24_v13,0.058347868,0.055908397
321432:7063,08/18/18 14:54:29,46,HLT_IsoMu24_v13,0.017797245,0.016578099
321433:7063,08/18/18 15:15:09,124,HLT_IsoMu24_v13,0.045245363,0.042731868
321434:7063,08/18/18 16:07:00,637,HLT_IsoMu24_v13,0.186428117,0.180883530
321436:7063,08/18/18 20:20:52,710,HLT_IsoMu24_v13,0.142080158,0.138442512
321457:7065,08/19/18 07:38:11,1843,HLT_IsoMu24_v13,0.501552951,0.482764913
321461:7065,08/19/18 19:38:10,149,HLT_IsoMu24_v13,0.021566373,0.021013159
321475:7069,08/20/18 01:30:43,2028,HLT_IsoMu24_v13,0.488692562,0.471915197
321710:7078,08/23/18 13:20:08,52,HLT_IsoMu24_v13,0.018046407,0.017235540
321712:7078,08/23/18 13:42:14,244,HLT_IsoMu24_v13,0.086872537,0.083398234
321730:7080,08/23/18 21:10:55,280,HLT_IsoMu24_v13,0.110155802,0.102671711
321732:7080,08/23/18 23:11:27,1405,HLT_IsoMu24_v13,0.357660499,0.344693837
321735:7080,08/24/18 08:33:27,146,HLT_IsoMu24_v13,0.024345311,0.023661372
321755:7083,08/24/18 13:48:50,683,HLT_IsoMu24_v13,0.220666734,0.213439063
321758:7083,08/24/18 18:21:07,152,HLT_IsoMu24_v13,0.038637582,0.037517794
321760:7083,08/24/18 19:44:52,805,HLT_IsoMu24_v13,0.150633274,0.146154011
321773:7087,08/25/18 12:11:58,55,HLT_IsoMu24_v13,0.022124595,0.021058973
321774:7087,08/25/18 12:43:49,117,HLT_IsoMu24_v13,0.045889667,0.043723511
321775:7087,08/25/18 13:36:11,13,HLT_IsoMu24_v13,0.004960672,0.004807280
321776:7087,08/25/18 13:57:38,29,HLT_IsoMu24_v13,0.010628322,0.010304763
321777:7087,08/25/18 14:14:59,187,HLT_IsoMu24_v13,0.063977373,0.058617297
321778:7087,08/25/18 16:07:27,127,HLT_IsoMu24_v13,0.037333885,0.036058523
321780:7087,08/25/18 17:04:57,481,HLT_IsoMu24_v13,0.116934171,0.113675311
321781:7087,08/25/18 20:38:11,380,HLT_IsoMu24_v13,0.070570387,0.068009371
321813:7090,08/26/18 09:20:15,321,HLT_IsoMu24_v13,0.125076616,0.120244832
