#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
315646:6638,05/03/18 03:51:56,1033,HLT_IsoMu24_v11,0.195446371,0.191965411
315647:6638,05/03/18 10:38:46,58,HLT_IsoMu24_v11,0.008667561,0.008018223
315648:6638,05/03/18 11:04:01,110,HLT_IsoMu24_v11,0.015513783,0.015226193
315689:6639,05/03/18 14:58:22,1111,HLT_IsoMu24_v11,0.339287921,0.329961140
315690:6639,05/03/18 22:39:08,645,HLT_IsoMu24_v11,0.121163043,0.119002428
315702:6640,05/04/18 08:08:15,75,HLT_IsoMu24_v11,0.024261907,0.022853258
315703:6640,05/04/18 08:40:27,541,HLT_IsoMu24_v11,0.162493052,0.158162957
315704:6640,05/04/18 12:15:58,61,HLT_IsoMu24_v11,0.015167133,0.014739086
315705:6640,05/04/18 12:42:46,698,HLT_IsoMu24_v11,0.134634398,0.132385264
315713:6641,05/04/18 19:35:25,1061,HLT_IsoMu24_v11,0.365754044,0.353737207
315741:6643,05/05/18 11:57:43,59,HLT_IsoMu24_v11,0.025217811,0.023717346
315764:6645,05/05/18 15:48:29,273,HLT_IsoMu24_v11,0.119106781,0.114012549
315770:6646,05/06/18 02:20:23,294,HLT_IsoMu24_v11,0.126217609,0.121797651
315784:6648,05/06/18 11:07:00,126,HLT_IsoMu24_v11,0.053714745,0.051800303
315785:6648,05/06/18 12:23:07,303,HLT_IsoMu24_v11,0.109413795,0.106004136
315786:6648,05/06/18 14:25:10,72,HLT_IsoMu24_v11,0.022718539,0.021848285
315790:6648,05/06/18 18:12:51,919,HLT_IsoMu24_v11,0.176393930,0.173124270
315800:6650,05/07/18 06:55:20,581,HLT_IsoMu24_v11,0.213137166,0.206216972
315801:6650,05/07/18 10:57:12,344,HLT_IsoMu24_v11,0.101138786,0.098535193
315840:6654,05/07/18 21:19:16,1122,HLT_IsoMu24_v11,0.364441940,0.354113911
315973:6659,05/08/18 23:33:11,855,HLT_IsoMu24_v11,0.285941019,0.278588158
316061:6662,05/10/18 09:00:15,36,HLT_IsoMu24_v12,0.006254627,0.006146939
315974:6659,05/09/18 05:17:09,71,HLT_IsoMu24_v12,0.019080288,0.018532308
316058:6662,05/09/18 20:47:16,361,HLT_IsoMu24_v12,0.141638642,0.137198259
316059:6662,05/09/18 23:10:21,566,HLT_IsoMu24_v12,0.178383040,0.170428067
316060:6662,05/10/18 02:53:15,935,HLT_IsoMu24_v12,0.203916010,0.198480126
316062:6662,05/10/18 10:24:04,4,HLT_IsoMu24_v12,0.000709715,0.000698285
316082:6663,05/10/18 12:45:58,371,HLT_IsoMu24_v12,0.145839976,0.141360754
316110:6666,05/10/18 21:22:27,210,HLT_IsoMu24_v12,0.084663262,0.081970171
316111:6666,05/10/18 22:46:45,45,HLT_IsoMu24_v12,0.016576199,0.015162074
316113:6666,05/10/18 23:16:41,62,HLT_IsoMu24_v12,0.021626808,0.020491414
316114:6666,05/10/18 23:42:59,1561,HLT_IsoMu24_v12,0.377647738,0.367996897
316153:6672,05/11/18 17:03:13,770,HLT_IsoMu24_v12,0.263571828,0.256242639
316186:6674,05/12/18 03:09:36,17,HLT_IsoMu24_v12,0.007471334,0.006988707
316187:6674,05/12/18 03:18:33,1970,HLT_IsoMu24_v12,0.534590855,0.512431783
316199:6675,05/12/18 18:55:11,1164,HLT_IsoMu24_v12,0.416069318,0.401964285
316200:6675,05/13/18 02:29:14,9,HLT_IsoMu24_v12,0.002373000,0.002226192
316201:6675,05/13/18 02:36:34,491,HLT_IsoMu24_v12,0.114515886,0.110093665
316202:6675,05/13/18 05:53:19,403,HLT_IsoMu24_v12,0.077434461,0.075106418
316216:6677,05/13/18 11:57:38,440,HLT_IsoMu24_v12,0.178428459,0.171480475
316217:6677,05/13/18 15:05:03,264,HLT_IsoMu24_v12,0.091442477,0.088159461
316218:6677,05/13/18 16:52:47,1007,HLT_IsoMu24_v12,0.250143661,0.243000866
316219:6677,05/13/18 23:33:19,283,HLT_IsoMu24_v12,0.050388155,0.048978612
